regime,metric,system,reference,system_successes,system_total,system_rate,reference_successes,reference_total,reference_rate,fisher_p_value,system_runs,reference_runs,fisher_unit,difference_rate,difference_ci_low,difference_ci_high,difference_confidence,difference_method,difference_strata,system_clusters,reference_clusters,equivalence_margin,equivalent_within_margin,equivalence_margin_preregistered
crashed,known_ambiguity_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,540,0.0,193,540,0.3574074074074074,1.1565901835252605e-67,54,54,execution (cluster-unadjusted),-0.3574074074074074,-0.37037037037037035,-0.34444444444444444,0.9,stratified run-cluster percentile bootstrap,18,54,54,0.05,False,False
crashed,known_ambiguity_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,540,0.0,193,540,0.3574074074074074,1.1565901835252605e-67,54,54,execution (cluster-unadjusted),-0.3574074074074074,-0.37037037037037035,-0.34444444444444444,0.9,stratified run-cluster percentile bootstrap,18,54,54,0.05,False,False
crashed,lost_effect_rate,B0_NAIVE_RETRY,AEP_FULL,5,450,0.011111111111111112,0,540,0.0,0.019168880599469904,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,lost_effect_rate,B1_LEASE_ONLY,AEP_FULL,2,450,0.0044444444444444444,0,540,0.0,0.2063608787572387,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,lost_effect_rate,B2_CAS_ONLY,AEP_FULL,2,450,0.0044444444444444444,0,540,0.0,0.2063608787572387,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,lost_effect_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,lost_effect_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,282,540,0.5222222222222223,0,540,0.0,2.460609606580116e-107,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,lost_effect_rate,B4_DURABLE_WORKFLOW,AEP_FULL,4,540,0.007407407407407408,0,540,0.0,0.12430523465191384,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B0_NAIVE_RETRY,AEP_FULL,5,450,0.011111111111111112,0,540,0.0,0.019168880599469904,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B1_LEASE_ONLY,AEP_FULL,2,450,0.0044444444444444444,0,540,0.0,0.2063608787572387,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B2_CAS_ONLY,AEP_FULL,1,450,0.0022222222222222222,0,540,0.0,0.45454545454545453,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,397,540,0.7351851851851852,0,540,0.0,3.8119955099860014e-173,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,unverified_failure_rate,B4_DURABLE_WORKFLOW,AEP_FULL,4,540,0.007407407407407408,0,540,0.0,0.12430523465191384,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B0_NAIVE_RETRY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B1_LEASE_ONLY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B2_CAS_ONLY,AEP_FULL,0,450,0.0,0,540,0.0,1.0,45,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,state_corruption_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,540,0.0,0,540,0.0,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B0_NAIVE_RETRY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B1_LEASE_ONLY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B2_CAS_ONLY,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B3_INTENT_NO_BARRIER,AEP_FULL,450,540,0.8333333333333334,450,540,0.8333333333333334,1.0,54,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
crashed,recovery_success_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,0,0.0,450,540,0.8333333333333334,1.0,0,54,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B0_NAIVE_RETRY,AEP_FULL,3,30,0.1,0,30,0.0,0.23728813559322035,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B1_LEASE_ONLY,AEP_FULL,5,30,0.16666666666666666,0,30,0.0,0.052185548617305975,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B2_CAS_ONLY,AEP_FULL,5,30,0.16666666666666666,0,30,0.0,0.052185548617305975,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B4_DURABLE_WORKFLOW,AEP_FULL,3,30,0.1,0,30,0.0,0.23728813559322035,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,known_ambiguity_rate,B0_NAIVE_RETRY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,known_ambiguity_rate,B1_LEASE_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,known_ambiguity_rate,B2_CAS_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,known_ambiguity_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,known_ambiguity_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,known_ambiguity_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,3,3,0.05,True,False
p0,lost_effect_rate,B0_NAIVE_RETRY,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B1_LEASE_ONLY,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B2_CAS_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,3,30,0.1,0,30,0.0,0.23728813559322035,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B4_DURABLE_WORKFLOW,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B0_NAIVE_RETRY,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B1_LEASE_ONLY,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B2_CAS_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,3,30,0.1,0,30,0.0,0.23728813559322035,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B4_DURABLE_WORKFLOW,AEP_FULL,1,30,0.03333333333333333,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B0_NAIVE_RETRY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B1_LEASE_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B2_CAS_ONLY,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,30,0.0,0,30,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B0_NAIVE_RETRY,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B1_LEASE_ONLY,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B2_CAS_ONLY,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,0,0.0,0,0,0.0,1.0,3,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,3,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B4_DURABLE_WORKFLOW,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,3,execution (cluster-unadjusted),,,,,,,,,,,
redis-kill-preack,undetected_duplicate_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,30,30,execution (cluster-unadjusted),,,,,,,,,,,
redis-kill-preack,known_ambiguity_rate,B3_INTENT_NO_BARRIER,AEP_FULL,30,30,1.0,30,30,1.0,1.0,30,30,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,30,30,0.05,True,False
redis-kill-preack,lost_effect_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,30,30,execution (cluster-unadjusted),,,,,,,,,,,
redis-kill-preack,unverified_failure_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,30,30,execution (cluster-unadjusted),,,,,,,,,,,
redis-kill-preack,state_corruption_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,30,0.0,0,30,0.0,1.0,30,30,execution (cluster-unadjusted),,,,,,,,,,,
redis-kill-preack,recovery_success_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,0,0.0,0,0,0.0,1.0,30,30,execution (cluster-unadjusted),,,,,,,,,,,
